,Time,Team 1 Belief,Draw,Team 2 Belief,Sport,id,Sportsbook,Team 1,Team 2
734477,2021-09-21 22:29:08,0.36,,0.69,MLB,31fd7bcc6f470d80a29f2e4c552aa852,TwinSpires,Milwaukee Brewers,St. Louis Cardinals
366774,2021-09-18 19:24:43,0.14,0.7,0.23,MLS,93d42279cf5f2ad72b5dff5ae9d16fb5,TwinSpires,Columbus Crew SC,New England Revolution
1847715,2021-09-26 10:59:29,0.17,0.61,0.29,Serie B - Italy,cfe350ccd04f46ac1456d984bfbb1ec5,Bovada,Parma,Pisa
802309,2021-09-28 17:45:25,0.24,,0.82,MLB,57bb62a55205edff0f82803595decf1f,FOX Bet,Miami Marlins,New York Mets
2389979,2021-09-25 12:22:37,0.0,0.98,0.06,Primeira Liga - Portugal,59686c9bd5b20d179e348d86bd8056f7,SugarHouse,Arouca,Moreirense FC
1997595,2021-09-26 15:47:33,1.0,,1.0,NFL,5d215f78d1909302b0c4d6ac435a8c3f,PointsBet (US),New England Patriots,New Orleans Saints
678559,2021-09-24 22:20:46,0.95,,0.11,MLB,f534466d9d5ea215e10d9ae0b16bd051,BetMGM,Philadelphia Phillies,Pittsburgh Pirates
1391965,2021-09-11 15:14:34,0.2,,0.86,NCAAF,64b537b8553dfed06ad353118e70b7f5,DraftKings,Ohio State Buckeyes,Oregon Ducks
243174,2021-10-03 20:54:09,0.62,0.12,0.36,Brazil Série A,0d73564e1facd0458aa2c344ade8ad8d,MyBookie.ag,Gremio,Sport Recife
1691372,2021-09-20 14:12:46,0.81,0.08,0.2,Superettan - Sweden,8c995b7d2504a4c0c2ecfa03a694fb3a,Barstool Sportsbook,IFK Värnamo,Örgryte IS
1121062,2021-09-12 13:31:22,0.12,0.53,0.35,La Liga - Spain,90b04e1bbc6014c0b10fd6285197b2ce,Betfair,Cádiz CF,Real Sociedad
720196,2021-09-10 22:12:47,0.99,,0.07,MLB,98f727225740bc0411257e5d2980f4f2,Bovada,Atlanta Braves,Miami Marlins
2374018,2021-12-03 14:57:38,0.9,0.03,0.12,Primeira Liga - Portugal,ae35402d0a9ab618a6087e9385b38435,Barstool Sportsbook,FC Porto,Portimonense
1411552,2021-09-25 16:59:22,0.5,,0.56,NCAAF,fb6699cbf63926db1adf45a90bebc707,BetMGM,Utah Utes,Washington State Cougars
2363057,2021-09-25 07:03:32,0.49,,0.56,IPL,cd678370877638de1782963a72047d7a,Unibet,Delhi Capitals,Rajasthan Royals
784783,2021-09-13 21:14:45,0.17,,0.89,MLB,3991786412145d7b5d7aa31e24b768c7,GTbets,New York Mets,St. Louis Cardinals
1174006,2021-09-29 23:16:56,0.32,0.29,0.48,Liga MX,76f50a75f5da9338ecfef82192f68eb1,PointsBet (US),Guadalajara,Querétaro
2001946,2021-12-05 14:04:57,0.51,,0.55,NFL,7f1381f1409f5fa933dccc0b3f9a169a,FanDuel,Detroit Lions,Minnesota Vikings
625817,2021-09-07 21:24:56,0.32,,0.74,MLB,b553474c5d8a3d513d5c252eaaeca45e,Unibet,Chicago Cubs,Cincinnati Reds
1780475,2021-11-05 20:37:31,0.11,,0.94,NBA,d78322d79b6ec151767ddf398a72061c,William Hill (US),Memphis Grizzlies,Washington Wizards
500323,2021-09-30 15:45:59,0.75,,0.3,Basketball Euroleague,54b8f3169992caec22018f02b373f143,Unibet,FC Bayern München,Maccabi Tel Aviv
1306813,2021-09-18 20:34:41,0.45,,0.61,NCAAF,e83e0bd55a9ac50ce7d0f355f785f21f,Unibet,Southern Mississippi Golden Eagles,Troy Trojans
2185841,2021-12-06 19:25:03,0.77,,0.28,NHL,5e9a79854be0d865bfb8f8a0ea47d98f,PointsBet (US),New Jersey Devils,Ottawa Senators
